VIN (1-10);County;City;State;Postal Code;Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract
WAUEJBFW4N;King;Mercer Island;WA;98040;2022;AUDI;E-TRON GT;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;41;195416896;POINT (-122.2377542 47.582905);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024301
WP1BE2AYXL;King;Seattle;WA;98177;2020;PORSCHE;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14;0;32;255208565;POINT (-122.382425 47.77279);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033000500
WP0AD2A74F;Clark;Vancouver;WA;98686;2015;PORSCHE;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;15;0;17;140445098;POINT (-122.6483953 45.7010427);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040811
3C3CFFGE2K;King;Seattle;WA;98103;2019;FIAT;500;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84;0;43;229579822;POINT (-122.34301 47.659185);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033005401
WBA7J2C50H;King;Renton;WA;98056;2017;BMW;740E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14;89100;41;142386037;POINT (-122.180505 47.500055);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025304
WBA33AG04M;King;Auburn;WA;98001;2021;BMW;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18;0;47;141826758;POINT (-122.2849393 47.3384055);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033029902
WBY8P4C05L;King;Seattle;WA;98105;2020;BMW;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;126;0;43;258973186;POINT (-122.319115 47.66132);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033005201
SALGS4RY2L;Clark;Vancouver;WA;98685;2020;LAND ROVER;RANGE ROVER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19;0;18;112586274;POINT (-122.70302 45.703706);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040907
5YJXCAE23M;Clark;Camas;WA;98607;2021;TESLA;MODEL X;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;18;138566396;POINT (-122.405565 45.59009);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011041325
3C3CFFGEXE;King;Seattle;WA;98116;2014;FIAT;500;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;87;0;34;112631312;POINT (-122.38679 47.56484);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033009600
WP0AA2Y18N;King;Sammamish;WA;98075;2022;PORSCHE;TAYCAN;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;41;198987372;POINT (-122.03309 47.58153);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032213
WA12AAGE1P;Kitsap;Bremerton;WA;98311;2023;AUDI;E-TRON;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;23;236348486;POINT (-122.6466274 47.6341188);PUGET SOUND ENERGY INC;53035091701
KNDCC3LD2K;King;Shoreline;WA;98177;2019;KIA;NIRO;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26;0;32;209657479;POINT (-122.382425 47.77279);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033020100
YV4H60DV0P;King;Kent;WA;98032;2023;VOLVO;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;35;0;33;218139239;POINT (-122.235475 47.3809);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033029102
WAUVPBFF6G;King;Seattle;WA;98103;2016;AUDI;A3;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16;0;43;194988188;POINT (-122.34301 47.659185);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033005100
YV4H60DP6P;King;Seattle;WA;98103;2023;VOLVO;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;35;0;43;224349051;POINT (-122.34301 47.659185);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033004600
3FA6P0SU5L;Cowlitz;Longview;WA;98632;2020;FORD;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26;0;19;257538494;POINT (-122.9379953 46.1372997);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY;53015000802
3FMTK3R70M;Snohomish;Mill Creek;WA;98012;2021;FORD;MUSTANG MACH-E;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;44;148432924;POINT (-122.1873 47.820245);PUGET SOUND ENERGY INC;53061052008
KL8CL6S04G;Clark;Camas;WA;98607;2016;CHEVROLET;SPARK;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;82;0;18;218049289;POINT (-122.405565 45.59009);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011041400
KNAGV4LD1J;King;Renton;WA;98058;2018;KIA;OPTIMA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;29;0;11;185989443;POINT (-122.1298876 47.4451257);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025804
YV4H600NXP;King;Redmond;WA;98052;2023;VOLVO;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;0;48;236256632;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022606
53TBH2MC4B;Clark;Yacolt;WA;98675;2011;TH!NK;CITY;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;100;0;18;477078717;POINT (-122.4066726 45.8651816);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040102
WBA33AG08N;King;Shoreline;WA;98177;2022;BMW;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18;0;32;203644297;POINT (-122.382425 47.77279);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033020800
JTJHKCFZ4N;King;Sammamish;WA;98075;2022;LEXUS;NX;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;37;0;41;213589316;POINT (-122.03309 47.58153);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032213
WBY8P2C08L;King;Seattle;WA;98117;2020;BMW;I3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;153;0;36;114869912;POINT (-122.37275 47.68968);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033001600
KMHC75LD7L;King;Seattle;WA;98122;2020;HYUNDAI;IONIQ;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;29;0;37;122461853;POINT (-122.30839 47.610365);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033007700
KMUKCDTC0P;King;Seattle;WA;98116;2023;GENESIS;GV60;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;34;259023516;POINT (-122.38679 47.56484);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033009600
WP0AC2Y16L;King;Bothell;WA;98011;2020;PORSCHE;TAYCAN;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;192;0;1;141393108;POINT (-122.20578 47.762405);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033021803
WA1AAAGE0M;King;Bellevue;WA;98006;2021;AUDI;E-TRON;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;222;0;41;144894669;POINT (-122.16937 47.571015);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025006
KNDC34LB2P;King;Maple Valley;WA;98038;2023;KIA;EV6;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;5;259672780;POINT (-122.05191 47.357985);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033031604
WVWPR7AU6H;King;Seattle;WA;98103;2017;VOLKSWAGEN;E-GOLF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;125;0;43;256065722;POINT (-122.34301 47.659185);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033003500
WA132BFZ3P;Snohomish;Bothell;WA;98021;2023;AUDI;Q4;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;1;259010643;POINT (-122.179458 47.802589);PUGET SOUND ENERGY INC;53061051937
WP0AC2Y15P;King;Seattle;WA;98109;2023;PORSCHE;TAYCAN;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;36;241668948;POINT (-122.34848 47.632405);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033006800
SADHD2S11K;King;Mercer Island;WA;98040;2019;JAGUAR;I-PACE;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;234;0;41;476556090;POINT (-122.2377542 47.582905);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024302
WBA8E1C59J;Kitsap;Poulsbo;WA;98370;2018;BMW;330E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14;45600;23;219734462;POINT (-122.64177 47.737525);PUGET SOUND ENERGY INC;53035090201
3FMTK1SSXM;King;Seattle;WA;98121;2021;FORD;MUSTANG MACH-E;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;36;252657723;POINT (-122.344125 47.61546);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033008003
JM3KKDHA5R;King;Redmond;WA;98052;2024;MAZDA;CX-90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26;0;48;255213801;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022802
YV4BR0DM9L;King;Seattle;WA;98144;2020;VOLVO;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19;0;37;207125054;POINT (-122.30823 47.581975);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033009500
WP0BA2Y1XM;Snohomish;Bothell;WA;98012;2021;PORSCHE;TAYCAN;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;21;251077480;POINT (-122.1873 47.820245);PUGET SOUND ENERGY INC;53061051927
ZASPATCW5R;King;Yarrow Point;WA;98004;2024;ALFA ROMEO;TONALE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;33;0;48;252644374;POINT (-122.201905 47.61385);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024100
JN1BF0AA2P;King;Kirkland;WA;98033;2023;NISSAN;ARIYA;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;48;254816236;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022702
JHMZC5F38L;Cowlitz;Longview;WA;98632;2020;HONDA;CLARITY;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;47;0;19;101962878;POINT (-122.9379953 46.1372997);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY;53015001900
1G1RB6S50K;Thurston;Lacey;WA;98503;2019;CHEVROLET;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;53;0;22;316710355;POINT (-122.8285 47.03646);PUGET SOUND ENERGY INC;53067011628
KMHC75LJ0M;Clark;Vancouver;WA;98684;2021;HYUNDAI;IONIQ;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;17;168632803;POINT (-122.51692 45.6228);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011041321
1G1RB6E4XF;King;Seattle;WA;98126;2015;CHEVROLET;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38;0;34;120152770;POINT (-122.374105 47.54468);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033009900
KM8KNDAF4N;King;Seattle;WA;98122;2022;HYUNDAI;IONIQ 5;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;37;198523629;POINT (-122.30839 47.610365);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033007800
KM8K23AG7M;King;Shoreline;WA;98133;2021;HYUNDAI;KONA ELECTRIC;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;32;151326010;POINT (-122.34584 47.76726);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033020700
5YJSA1E44J;King;Bellevue;WA;98004;2018;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;249;0;41;475657094;POINT (-122.201905 47.61385);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023902
YV4BR0CL1L;King;Seattle;WA;98103;2020;VOLVO;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18;0;43;101563752;POINT (-122.34301 47.659185);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033005000
KMHE14L22H;King;Federal Way;WA;98003;2017;HYUNDAI;SONATA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;27;0;30;197303144;POINT (-122.31327 47.32309);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033030003
5YJXCBE46J;King;Seattle;WA;98115;2018;TESLA;MODEL X;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238;0;46;475152275;POINT (-122.3185 47.67949);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033002600
LREKK5RX3J;King;Bellevue;WA;98006;2018;CADILLAC;CT6;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;31;75095;41;207104460;POINT (-122.16937 47.571015);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024902
